"","V1","V2","V3","V4","V5"
"235","FAM216B","FAM92B","0","0","FALSE"
"236","FAM216B","AC104809_3","0","0","FALSE"
"237","FAM216B","CLIC6","0","0","FALSE"
"238","FAM216B","FAM216B","0","0","FALSE"
"239","FAM216B","FAM92B","0","0","FALSE"
"240","FAM216B","FAM92B","0","0","FALSE"
"241","FAM216B","FAM216B","0","0","FALSE"
"242","FAM216B","ADGB","0","0","FALSE"
"243","FAM216B","CCDC33","0","0","FALSE"
"244","FAM216B","AC104809_3","0","0","FALSE"
"245","FAM216B","NTS","0","0","FALSE"
"246","FAM216B","FAM216B","0","0","FALSE"
"247","FAM216B","FAM92B","0","0","FALSE"
"248","FAM216B","FAM92B","0","0","FALSE"
"249","FAM216B","COL6A5","0","0","FALSE"
"250","FAM216B","EGR1","0","0","FALSE"
"251","FAM216B","LINGO2","0","0","FALSE"
"252","FAM216B","RP11_438B23_2","0","0","FALSE"
"253","FAM216B","FAM216B","0","0","FALSE"
"254","FOSB","C18orf42","0","0","FALSE"
"255","FOSB","SERPINA3","0","0","FALSE"
"256","FOSB","ADGB","0","0","FALSE"
"257","FOSB","FAM92B","0","0","FALSE"
"258","FOSB","AC104809_3","0","0","FALSE"
"259","FOSB","CLIC6","0","0","FALSE"
"260","FOSB","FAM216B","0","0","FALSE"
"261","FOSB","FAM92B","0","0","FALSE"
"262","FOSB","FAM92B","0","0","FALSE"
"263","FOSB","FAM216B","0","0","FALSE"
"264","FOSB","ADGB","0","0","FALSE"
"265","FOSB","CCDC33","0","0","FALSE"
"266","FOSB","AC104809_3","0","0","FALSE"
"267","FOSB","NTS","0","0","FALSE"
"268","FOSB","FAM216B","0","0","FALSE"
"269","FOSB","FAM92B","0","0","FALSE"
"270","FOSB","FAM92B","0","0","FALSE"
"271","FOSB","COL6A5","0","0","FALSE"
"272","FOSB","EGR1","0","0","FALSE"
"273","FOSB","LINGO2","0","0","FALSE"
"274","FOSB","RP11_438B23_2","0","0","FALSE"
"275","FOSB","FAM216B","0","0","FALSE"
"276","FOSB","FOSB","0","0","FALSE"
"277","SLC5A7","C18orf42","0","0","FALSE"
"278","SLC5A7","SERPINA3","0","0","FALSE"
"279","SLC5A7","ADGB","0","0","FALSE"
"280","SLC5A7","FAM92B","0","0","FALSE"
"281","SLC5A7","AC104809_3","0","0","FALSE"
"282","SLC5A7","CLIC6","0","0","FALSE"
"283","SLC5A7","FAM216B","0","0","FALSE"
"284","SLC5A7","FAM92B","0","0","FALSE"
"285","SLC5A7","FAM92B","0","0","FALSE"
"286","SLC5A7","FAM216B","0","0","FALSE"
"287","SLC5A7","ADGB","0","0","FALSE"
"288","SLC5A7","CCDC33","0","0","FALSE"
"289","SLC5A7","AC104809_3","0","0","FALSE"
"290","SLC5A7","NTS","0","0","FALSE"
"291","SLC5A7","FAM216B","0","0","FALSE"
"292","SLC5A7","FAM92B","0","0","FALSE"
"293","SLC5A7","FAM92B","0","0","FALSE"
"294","SLC5A7","COL6A5","0","0","FALSE"
